cust_id,state,area_code,phone_number,intl_plan,voice_mail_plan
182,NY, 408, 405-2888, no, yes
183,NH, 408, 361-3337, no, no
184,VA, 510, 350-1639, yes, no
185,NM, 415, 333-3221, no, no
186,NY, 408, 422-1471, no, no
187,AZ, 415, 399-7865, no, no
188,WY, 510, 373-4819, no, no
189,WA, 408, 338-6981, no, no
190,CO, 415, 418-4365, no, no
191,TX, 415, 359-5461, no, no
192,KY, 408, 375-3586, no, no
193,MT, 415, 407-8376, no, no
194,OK, 408, 408-6496, no, yes
195,MD, 415, 385-7688, no, yes
196,TN, 415, 332-6934, no, no
197,TX, 510, 378-3625, no, no
198,ME, 510, 353-7292, yes, yes
199,DC, 408, 399-6786, no, no
200,MN, 415, 358-3261, no, yes
201,DE, 408, 377-9932, no, no
202,MD, 415, 397-4030, no, no
203,MI, 510, 367-1062, no, no
204,WA, 415, 341-8467, no, no
205,MO, 415, 339-9453, no, yes
206,IN, 415, 344-3388, no, no
207,OR, 415, 375-8013, no, no
208,MD, 510, 408-4142, no, no
209,RI, 510, 386-3671, no, no
210,LA, 415, 411-2284, no, no
211,AZ, 510, 346-7795, yes, no
212,PA, 415, 333-5609, no, yes
213,AZ, 408, 405-1842, no, yes
214,FL, 510, 366-6345, yes, no
215,LA, 415, 337-9345, no, no
216,FL, 415, 328-6770, no, no
217,FL, 415, 380-7321, no, no
218,MD, 415, 375-1476, no, no
219,AL, 415, 356-1567, no, no
220,WA, 415, 422-6685, no, no
221,TN, 408, 336-1090, no, yes
222,MS, 415, 343-2095, no, no
223,ME, 408, 345-3934, no, no
224,OK, 408, 338-8050, no, no
225,IN, 415, 388-9568, no, no
226,MO, 415, 402-6591, no, no
227,IA, 408, 403-6419, no, yes
228,VA, 415, 386-9790, no, yes
229,KY, 415, 378-5692, no, yes
230,MD, 408, 360-3324, yes, no
231,OH, 415, 410-3719, yes, yes
232,OK, 415, 352-4221, no, no
233,NV, 415, 327-6179, no, no
234,ID, 415, 359-6196, yes, no
235,MN, 510, 374-9107, no, no
236,SD, 408, 357-4078, no, yes
237,IL, 408, 366-5780, no, no
238,WY, 510, 393-9619, no, no
239,AL, 415, 355-9295, no, no
240,NJ, 510, 400-5751, no, no
241,NV, 415, 338-1027, yes, no
242,IN, 415, 405-8867, no, no
243,WV, 408, 336-5616, no, no
244,VA, 408, 335-1697, no, no
245,SC, 408, 331-5138, no, no
246,RI, 415, 385-8240, no, yes
247,IN, 510, 348-1359, no, no
248,AZ, 408, 354-7339, no, no
249,NM, 510, 349-1687, no, yes
250,OR, 415, 380-2558, no, yes
251,NJ, 415, 365-2153, no, no
252,MS, 408, 345-6043, no, no
253,MI, 510, 349-2808, no, yes
254,TX, 415, 411-1715, yes, no
255,FL, 408, 385-2488, no, yes
256,DC, 510, 377-7177, no, no
257,TX, 415, 342-1099, no, no
258,KS, 408, 386-4170, yes, no
259,UT, 510, 413-1269, no, no
260,MN, 510, 396-4460, no, yes
261,IL, 408, 334-2730, no, no
262,NM, 415, 340-3182, no, no
263,SC, 510, 377-8608, no, no
264,NC, 408, 417-3676, no, no
265,WV, 510, 417-6774, no, yes
266,RI, 510, 411-9554, no, yes
267,NH, 408, 420-3192, no, no
268,MO, 510, 389-1475, no, yes
269,MA, 408, 343-7734, yes, no
270,PA, 415, 410-3390, no, no
271,OK, 415, 344-6495, no, no
272,AL, 415, 331-6229, no, yes
273,WY, 415, 337-7501, no, no
274,PA, 408, 339-9631, no, yes
275,WA, 415, 369-4384, no, no
276,HI, 510, 416-3915, yes, no
277,SD, 408, 339-3049, no, yes
278,AL, 415, 361-7998, no, yes
279,VT, 510, 355-4842, yes, no
280,MT, 415, 387-6440, no, no
281,MN, 415, 369-2625, no, no
282,AK, 415, 389-7073, no, yes
283,MI, 415, 370-8463, no, yes
284,DE, 415, 362-7318, no, no
285,SD, 408, 412-1194, no, yes
286,MI, 510, 355-9508, no, no
287,KS, 408, 352-8202, no, no
288,AL, 510, 335-5882, no, no
289,OK, 510, 352-6976, no, no
290,CT, 415, 393-6733, no, yes
291,NE, 510, 335-1838, no, no
292,WI, 510, 355-6930, no, no
293,CT, 415, 387-5860, no, yes
294,WI, 510, 343-2605, no, yes
295,IN, 510, 350-6759, no, no
296,DC, 415, 371-1514, no, no
297,AR, 415, 346-9317, no, no
298,ME, 415, 398-4313, no, no
299,MN, 415, 412-4399, no, no
300,MD, 415, 330-1835, no, no
301,FL, 415, 416-1676, no, no
302,RI, 408, 329-7347, no, no
303,IA, 415, 360-6868, no, no
304,AZ, 510, 405-6641, no, no
305,MO, 415, 393-2373, no, no
306,VT, 415, 419-1714, no, no
307,IN, 408, 336-3819, no, no
308,RI, 510, 341-3464, no, no
309,SD, 415, 413-5310, no, no
310,MN, 415, 366-7912, no, no
311,TX, 415, 399-8845, no, yes
312,VA, 510, 368-2583, no, no
313,MA, 408, 360-6309, no, no
314,ID, 408, 359-5890, no, no
315,MA, 408, 332-2462, no, no
316,GA, 415, 381-9196, no, yes
317,RI, 415, 329-3222, no, yes
318,ID, 510, 363-5819, no, yes
319,SD, 510, 413-9269, yes, yes
320,MA, 510, 330-7483, no, no
321,WY, 415, 403-7775, no, yes
322,VA, 408, 360-2479, no, no
323,OR, 415, 394-3791, no, no
324,VA, 408, 384-2632, no, no
325,ME, 510, 359-8466, no, yes
326,AL, 408, 331-8909, no, yes
327,GA, 408, 359-5160, no, yes
328,IA, 510, 330-9833, no, no
329,AZ, 510, 362-2314, no, no
330,FL, 510, 338-8478, no, no
331,MT, 415, 387-5453, no, no
332,AL, 415, 380-3437, no, no
333,DE, 510, 365-8779, no, no
334,MT, 510, 407-2750, no, no
335,KY, 408, 396-8265, no, yes
336,SC, 510, 397-4304, no, no
337,WA, 415, 333-2611, no, no
338,OR, 510, 409-8814, no, no
339,AK, 408, 336-5406, no, no
340,GA, 415, 343-6940, no, no
341,MN, 415, 361-9923, no, no
342,IL, 415, 350-6639, no, yes
343,IN, 408, 376-4300, no, yes
344,SC, 510, 349-6567, no, yes
345,VA, 415, 333-7749, no, no
346,WI, 415, 408-6089, no, yes
347,VT, 510, 375-2165, no, no
348,AZ, 415, 400-6999, no, yes
349,FL, 510, 420-7823, no, no
350,AK, 510, 366-5241, no, no
351,AR, 415, 413-3412, yes, yes
352,AR, 408, 406-2752, no, no
353,AK, 415, 337-8078, no, no
354,MS, 408, 402-1942, yes, no
355,ME, 415, 371-7917, no, no
356,CA, 408, 343-6374, yes, no
357,NM, 408, 385-8730, no, yes
358,NE, 408, 393-7892, yes, yes
359,SC, 408, 407-6748, no, yes
360,CO, 408, 341-4463, yes, no
361,DE, 415, 351-2587, no, no
362,OH, 415, 421-9752, no, yes
363,MS, 408, 356-4001, no, no
364,OK, 408, 328-9869, no, no
365,CO, 415, 343-5709, no, no
366,NC, 415, 334-1872, no, no
367,MD, 415, 350-1040, no, no
368,KS, 415, 369-3214, no, no
369,MA, 415, 385-6778, no, no
370,NC, 415, 383-7689, no, no
371,NM, 408, 385-5722, no, no
372,CA, 415, 357-1909, yes, no
373,NY, 415, 364-3567, no, no
374,AZ, 415, 422-4241, no, no
375,SD, 415, 370-2957, no, yes
376,DC, 415, 329-6562, no, no
377,ND, 408, 363-3515, no, no
378,MO, 415, 374-7787, yes, no
379,KS, 415, 345-2931, no, no
380,SD, 510, 373-5732, no, no
381,OK, 415, 348-7437, no, no
382,OR, 415, 332-9460, yes, no
383,IN, 415, 355-6531, yes, yes
384,OH, 408, 336-9390, no, no
385,KS, 415, 346-8581, no, no
386,CT, 415, 363-8824, no, no
387,NH, 510, 353-3351, no, no
388,WI, 415, 360-4320, no, no
389,MS, 510, 417-6252, no, no
390,WV, 415, 393-4949, no, no
391,MA, 415, 401-3156, no, no
392,MD, 415, 338-6283, no, no
393,PA, 510, 352-9017, no, no
394,WI, 510, 405-5305, no, no
395,TN, 415, 376-9249, no, yes
396,TX, 408, 339-7139, no, no
397,OR, 415, 328-6011, no, no
398,IL, 510, 378-1303, no, no
399,DC, 415, 402-5155, no, no
400,GA, 415, 333-5430, no, yes
401,ID, 415, 365-9696, no, no
402,UT, 408, 410-4023, no, yes
403,KY, 510, 411-7649, no, no
404,OH, 415, 338-4065, no, no
405,WI, 415, 421-9401, yes, no
406,IL, 415, 343-9658, no, no
407,DE, 510, 332-5521, no, no
408,RI, 510, 349-4369, yes, no
409,TX, 415, 351-4288, no, no
410,OR, 408, 422-5874, no, no
411,NV, 415, 396-2324, no, no
412,NE, 415, 416-5662, no, no
413,MS, 415, 363-9663, no, no
414,OR, 415, 410-9477, no, no
415,DE, 415, 352-4418, no, no
416,DE, 510, 361-6563, yes, no
417,AZ, 408, 417-4404, no, no
418,SD, 408, 372-8048, no, yes
419,NV, 415, 356-3646, no, no
420,NM, 415, 351-9604, no, yes
421,MN, 510, 355-9581, no, no
422,NJ, 415, 396-5189, no, no
423,IN, 415, 356-9187, no, yes
424,DC, 415, 394-5537, no, yes
425,MA, 510, 408-2712, yes, no
426,ME, 415, 404-4486, no, no
427,NH, 415, 355-1113, no, yes
428,AZ, 408, 411-4674, no, no
429,OR, 510, 376-4519, no, no
430,KS, 510, 365-5979, no, no
431,NE, 415, 382-2879, no, no
432,MI, 510, 420-1383, no, no
433,SC, 415, 411-7390, no, no
434,PA, 408, 383-8848, no, yes
435,MT, 510, 387-9301, no, yes
436,NM, 415, 399-3164, no, no
437,OH, 510, 385-8997, no, no
438,WY, 510, 352-6573, no, no
439,MI, 415, 408-3384, no, no
440,AR, 510, 419-6033, no, yes
441,FL, 408, 336-2090, no, no
442,AR, 510, 343-7242, no, yes
443,MO, 510, 376-1713, no, no
444,WI, 408, 381-5878, yes, no
445,TX, 510, 390-5470, no, no
446,TX, 510, 414-4803, no, no
447,NM, 510, 382-5478, no, no
448,GA, 415, 333-7637, no, no
449,ID, 510, 341-1647, no, yes
450,AL, 408, 411-4232, no, no
451,KS, 408, 339-2616, no, yes
452,SD, 510, 327-3850, no, no
453,LA, 415, 328-7209, no, yes
454,OH, 408, 405-6189, no, no
455,MA, 415, 418-6737, no, no
456,AZ, 415, 366-2212, no, no
457,KY, 408, 356-1420, no, no
458,DC, 415, 343-1323, no, yes
459,WA, 415, 361-8239, no, no
460,UT, 415, 384-1621, no, no
461,RI, 408, 360-3525, no, no
462,OH, 415, 392-3813, no, yes
463,NV, 408, 337-6898, no, no
464,ND, 415, 366-8036, no, yes
465,NV, 415, 352-8327, yes, no
466,FL, 510, 334-9505, no, yes
467,MD, 415, 336-5702, no, no
468,AZ, 415, 392-2381, no, yes
469,AL, 510, 369-6880, no, yes
470,NE, 415, 416-8697, no, no
471,NV, 408, 345-3451, no, no
472,IL, 408, 379-2514, no, no
473,WV, 510, 418-6651, no, yes
474,MI, 415, 421-3528, no, yes
475,AR, 510, 329-9046, no, no
476,UT, 510, 406-3890, no, no
477,GA, 510, 403-8904, no, yes
478,AZ, 408, 393-4086, no, no
479,ID, 408, 400-1367, no, no
480,HI, 408, 377-9473, no, no
481,NV, 408, 396-3068, no, no
482,MD, 415, 331-9293, no, no
483,GA, 510, 347-1914, no, no
484,GA, 510, 395-1962, no, no
485,UT, 415, 401-5485, no, yes
486,MA, 510, 355-6560, yes, no
487,IN, 415, 363-3911, no, no
488,VT, 510, 345-1998, no, no
489,IA, 415, 361-5277, no, no
490,IN, 415, 376-7145, no, no
491,AL, 415, 375-2975, yes, no
492,ME, 415, 376-8573, yes, no
493,RI, 415, 366-7360, no, yes
494,MD, 408, 347-7898, no, no
495,FL, 415, 390-7328, yes, no
496,CA, 415, 356-5491, no, yes
497,AL, 415, 373-3251, no, no
498,ME, 408, 343-1965, yes, no
499,WV, 415, 378-8019, no, no
500,SD, 415, 386-1548, no, yes
501,FL, 415, 397-1649, no, yes
502,MI, 415, 366-7247, yes, no
503,MI, 415, 402-9691, yes, yes
504,NM, 510, 334-9806, no, no
505,AK, 415, 378-7733, no, no
506,OH, 415, 407-2248, no, yes
507,MO, 415, 405-3916, no, no
508,KS, 408, 407-2081, no, yes
509,MS, 415, 397-9148, no, yes
510,VT, 408, 415-4857, no, yes
511,NE, 415, 354-7314, no, no
512,VA, 408, 346-5611, no, no
513,DE, 415, 349-4703, no, yes
514,AL, 408, 411-7778, yes, yes
515,ID, 510, 421-1469, no, yes
516,MS, 510, 420-5990, no, no
517,OK, 408, 389-4780, no, no
518,NM, 415, 357-2735, no, no
519,WI, 408, 409-4791, no, no
520,WV, 415, 380-5286, no, no
521,SC, 510, 394-8402, no, no
522,KY, 408, 392-1616, no, yes
523,MO, 408, 364-1969, no, no
524,IL, 510, 390-4152, no, no
525,OK, 408, 367-7039, no, no
526,MI, 510, 391-6607, no, no
527,NJ, 415, 379-6652, no, yes
528,ID, 415, 384-1833, no, no
529,DC, 510, 403-2455, yes, no
530,NY, 415, 391-1348, no, yes
531,AL, 415, 408-4174, no, no
532,OR, 415, 366-4334, no, yes
533,OK, 415, 406-5059, no, yes
534,LA, 510, 373-6784, no, no
535,NE, 408, 408-3532, no, no
536,TX, 415, 350-8680, no, yes
537,UT, 415, 398-9870, no, yes
538,OR, 415, 343-3356, no, no
539,NY, 408, 415-4609, no, no
540,AL, 408, 404-5387, no, yes
541,RI, 415, 415-8151, no, yes
542,MN, 415, 416-2778, yes, yes
543,NC, 415, 393-3300, no, no
544,MD, 510, 391-7661, no, yes
545,RI, 510, 339-4317, no, yes
546,WI, 510, 418-6455, yes, no
547,VT, 510, 378-3508, yes, yes
548,CT, 415, 390-9359, no, yes
549,OK, 408, 364-2495, no, yes
550,AK, 415, 364-7719, no, no
551,NY, 415, 421-1189, no, no
552,GA, 510, 419-8987, no, no
553,UT, 510, 402-9980, yes, no
554,NM, 415, 376-5908, no, no
555,NE, 415, 400-3150, no, yes
556,NJ, 408, 336-1749, no, no
557,TX, 408, 420-1259, no, yes
558,MT, 408, 339-7541, no, no
559,CO, 415, 378-9029, no, no
560,VT, 415, 342-7514, no, no
561,RI, 408, 422-4956, no, yes
562,WY, 408, 389-8606, no, yes
563,ID, 415, 406-7261, no, no
564,CT, 415, 417-7973, no, yes
565,ME, 510, 390-2891, no, no
566,AZ, 510, 385-7387, no, yes
567,MD, 510, 362-2776, yes, no
568,IN, 510, 329-1955, no, no
569,NC, 408, 344-3160, yes, yes
570,DE, 510, 406-2454, no, no
571,MN, 415, 335-3913, no, yes
572,WI, 415, 355-7705, yes, no
573,FL, 408, 410-7108, no, yes
574,WV, 510, 419-1674, no, no
575,SD, 415, 351-7369, no, yes
576,FL, 415, 349-9566, no, no
577,OR, 408, 333-3421, no, no
578,CO, 408, 393-8199, no, yes
579,CT, 408, 388-4879, no, yes
580,IN, 415, 353-6007, no, no
581,PA, 415, 416-1557, no, yes
582,NM, 415, 356-7217, no, no
583,ME, 408, 350-2012, no, no
584,SD, 510, 420-9838, no, no
585,AR, 408, 373-6379, no, no
586,TX, 408, 355-7293, yes, no
587,NH, 415, 406-4588, no, no
588,OK, 408, 345-1524, no, no
589,WI, 408, 375-8493, no, yes
590,AL, 408, 361-2924, no, no
591,PA, 408, 359-6163, no, no
592,OK, 510, 411-8140, no, no
593,ME, 510, 381-9049, no, yes
594,WV, 415, 344-4478, no, no
595,HI, 408, 360-2690, no, yes
596,MN, 510, 410-7383, no, no
597,NY, 408, 356-1889, no, no
598,AZ, 415, 341-2360, no, no
599,OH, 510, 370-3021, no, yes
600,MI, 510, 336-4656, no, no
601,MA, 415, 386-2810, yes, no
602,WV, 510, 350-1354, no, no
603,MI, 415, 346-5707, no, no
604,NM, 415, 405-8370, no, no
605,MO, 415, 373-2053, no, no
606,RI, 415, 369-5222, no, no
607,NC, 415, 347-7420, no, yes
608,WY, 415, 392-6856, no, no
609,WY, 415, 371-5556, no, no
610,PA, 510, 334-5337, no, no
611,KY, 415, 334-8817, no, no
612,OR, 510, 339-1405, no, no
613,NV, 415, 380-7742, yes, yes
614,DC, 408, 329-6191, no, yes
615,UT, 510, 340-3075, no, yes
616,WA, 408, 416-5849, yes, yes
617,FL, 510, 334-7443, no, no
618,VA, 510, 394-9121, no, no
619,KS, 415, 383-1657, yes, no
620,KS, 415, 347-4112, no, no
621,DC, 510, 362-8280, no, no
622,ME, 408, 402-9982, no, yes
623,LA, 415, 392-8905, no, no
624,DC, 415, 392-5512, no, no
625,TX, 510, 351-6384, no, no
626,NJ, 408, 348-8015, yes, yes
627,DE, 510, 374-6966, no, no
628,VT, 415, 328-2236, no, no
629,GA, 415, 372-6497, no, no
630,TX, 408, 417-8617, no, no
631,MT, 415, 361-9621, no, no
632,ND, 408, 421-2723, no, yes
633,NJ, 415, 327-9341, no, yes
634,MO, 408, 383-5474, no, no
635,CO, 510, 328-8147, no, yes
636,KS, 408, 373-5438, no, no
637,NC, 408, 333-9253, no, yes
638,MT, 415, 347-9421, no, yes
639,DE, 415, 419-3167, no, no
640,ND, 415, 414-4162, no, no
641,VA, 408, 416-5341, no, no
642,IL, 415, 368-8600, no, no
643,OK, 415, 336-6085, no, no
644,CO, 510, 377-1479, no, yes
645,MT, 415, 360-2107, no, yes
646,WV, 408, 405-9384, no, yes
647,ME, 415, 420-5179, no, no
648,WI, 415, 331-3174, no, yes
649,MO, 408, 411-5958, no, no
650,NY, 415, 333-8180, no, no
651,CT, 408, 357-2679, no, no
652,AR, 415, 396-2867, no, yes
653,WY, 415, 341-9443, no, yes
654,CA, 510, 341-4103, no, yes
655,CA, 510, 416-8701, no, no
656,MN, 415, 397-6109, no, no
657,AK, 415, 392-5587, no, no
658,VA, 415, 392-9342, no, no
659,CO, 415, 368-2845, no, no
660,MT, 408, 405-4920, no, no
661,SD, 408, 348-7484, no, yes
662,NE, 415, 338-5207, no, no
663,VT, 415, 418-7846, no, no
664,ND, 408, 358-8729, no, no
665,GA, 415, 349-1943, no, yes
666,OR, 415, 368-8283, no, no
667,MT, 510, 345-1419, no, no
668,WY, 415, 358-8025, no, no
669,GA, 415, 383-8695, no, yes
670,WV, 408, 370-7565, no, yes
671,CT, 415, 401-6162, no, yes
672,IL, 408, 386-5303, no, no
673,CO, 408, 351-6552, no, no
674,DE, 415, 345-5338, no, no
675,LA, 415, 330-2849, no, no
676,MA, 408, 364-6801, no, no
677,IN, 408, 375-3003, no, no
678,NY, 510, 383-8878, no, no
679,TX, 415, 384-2372, yes, no
680,KS, 510, 377-7107, no, no
681,WV, 415, 361-1581, no, no
682,NE, 415, 417-7888, no, yes
683,ND, 408, 383-8364, no, no
684,AK, 408, 396-2335, no, no
685,CO, 415, 408-4530, no, yes
686,ME, 415, 408-6621, no, no
687,SC, 510, 393-7522, no, no
688,MN, 510, 338-7120, no, yes
689,CO, 415, 357-4265, no, no
690,KS, 415, 398-8801, no, no
691,MS, 510, 346-2347, no, no
692,NE, 408, 343-2741, no, no
693,NJ, 510, 420-8242, no, yes
694,WI, 510, 402-7746, no, no
695,MT, 415, 332-1494, no, no
696,AR, 415, 388-6223, no, no
697,WA, 408, 404-9539, no, no
698,NH, 415, 341-7332, no, no
699,IA, 415, 338-7886, no, no
700,WV, 415, 332-5596, no, no
701,RI, 415, 348-9945, no, no
702,KS, 415, 407-1896, no, no
703,MT, 510, 398-9408, no, yes
704,MO, 510, 369-8005, no, no
705,HI, 415, 346-2530, no, no
706,CO, 415, 400-5984, no, no
707,CT, 510, 351-1007, no, yes
708,ID, 415, 345-5980, yes, yes
709,DC, 510, 368-8964, no, no
710,TN, 510, 358-1912, no, no
711,WY, 510, 379-3132, no, no
712,MO, 415, 340-9910, no, no
713,VA, 415, 396-2719, no, no
714,SD, 415, 369-6204, no, yes
715,WV, 510, 420-9971, yes, no
716,GA, 408, 410-3782, yes, yes
717,AZ, 415, 404-4481, no, no
718,AK, 408, 383-9255, no, no
719,AK, 510, 418-9385, no, no
720,CT, 415, 360-9676, no, yes
721,UT, 510, 327-3587, no, yes
722,KY, 415, 385-4715, no, no
723,MI, 510, 414-2695, no, no
724,OR, 510, 331-5999, no, yes
725,TN, 510, 337-7739, no, no
726,WV, 408, 388-6658, no, no
727,NJ, 415, 405-6943, no, no
728,MS, 510, 382-4084, no, yes
729,ME, 415, 352-8249, no, yes
730,WY, 510, 353-8363, no, no
731,WY, 415, 416-2825, no, no
732,IN, 510, 342-6696, no, no
733,NM, 408, 338-9210, no, yes
734,NJ, 415, 328-1768, yes, yes
735,DC, 415, 406-5870, yes, no
736,UT, 415, 398-3834, no, no
737,KY, 415, 330-7754, yes, no
738,KS, 510, 414-9054, no, no
739,MI, 510, 350-2832, no, no
740,UT, 510, 414-9027, no, yes
741,NE, 415, 337-1225, no, no
742,FL, 415, 394-6577, no, yes
743,LA, 408, 359-6995, no, no
744,MT, 415, 377-7561, no, no
745,WA, 415, 380-6631, no, yes
746,MI, 415, 390-8876, no, no
747,KY, 510, 413-2201, no, no
748,LA, 408, 374-2073, no, no
749,NM, 510, 417-1272, yes, no
750,AL, 415, 358-1129, no, yes
751,MO, 415, 394-1211, no, yes
752,CO, 510, 327-1319, no, yes
753,TX, 415, 399-4413, no, no
754,NY, 415, 393-9985, no, no
